City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
50,Port Blair,IN,2021-09-22 21:18:28,11.6667,92.75,78.67,85,100,11.59
51,Veraval,IN,2021-09-22 21:18:28,20.9,70.3667,80.71,81,94,11.43
52,Taoudenni,ML,2021-09-22 21:18:29,22.6783,-3.9836,99.75,7,2,6.89
53,Sobolevo,RU,2021-09-22 21:18:29,54.4299,31.8996,38.25,95,100,3.27
54,Rikitea,PF,2021-09-22 21:18:30,-23.1203,-134.9692,73.08,77,34,19.28
55,Jamestown,US,2021-09-22 21:17:21,42.097,-79.2353,74.79,91,100,10.0
56,Buala,SB,2021-09-22 21:18:31,-8.145,159.5921,80.91,75,78,3.0
57,Beni Suef,EG,2021-09-22 21:18:31,29.0731,31.0979,81.72,34,0,13.38
58,Novoagansk,RU,2021-09-22 21:18:33,61.9449,76.6625,33.84,86,100,6.76
59,Vila,PT,2021-09-22 21:18:33,42.0304,-8.1588,54.48,80,46,5.64
60,Rio Grande,BR,2021-09-22 21:18:34,-32.035,-52.0986,62.71,65,98,14.97
61,Esfarayen,IR,2021-09-22 21:18:34,37.0765,57.5101,64.06,23,0,5.17
62,Vostok,RU,2021-09-22 21:18:35,46.4856,135.8833,48.27,98,100,4.92
63,Bethel,US,2021-09-22 21:18:37,41.3712,-73.414,78.4,81,99,1.99
64,Araouane,ML,2021-09-22 21:18:37,18.9048,-3.5265,98.49,9,3,7.36
65,Male,MV,2021-09-22 21:18:38,4.1748,73.5089,82.74,77,61,15.32
66,Cape Town,ZA,2021-09-22 21:14:29,-33.9258,18.4232,66.11,52,20,4.36
67,Mahebourg,MU,2021-09-22 21:18:38,-20.4081,57.7,71.26,83,40,8.05
68,Norman Wells,CA,2021-09-22 21:18:39,65.282,-126.8329,32.04,100,90,14.97
69,Leshukonskoye,RU,2021-09-22 21:18:39,64.8989,45.7622,35.82,85,7,4.72
70,Nehe,CN,2021-09-22 21:18:40,48.4833,124.8333,47.71,88,4,6.8
71,Pangkalanbuun,ID,2021-09-22 21:18:40,-2.6833,111.6167,74.7,93,99,2.33
72,Shubarshi,KZ,2021-09-22 21:18:41,48.5872,57.1869,51.19,32,92,9.55
73,Charters Towers,AU,2021-09-22 21:18:41,-20.1,146.2667,54.79,49,35,6.17
74,Otane,NZ,2021-09-22 21:18:42,-39.8833,176.6333,59.38,91,100,13.58
75,Daule,EC,2021-09-22 21:18:42,-1.865,-79.9792,88.74,43,99,1.63
76,Georgetown,MY,2021-09-22 21:18:42,5.4112,100.3354,79.9,80,20,4.61
77,Kuching,MY,2021-09-22 21:18:43,1.55,110.3333,77.22,94,20,0.0
78,Guiren,CN,2021-09-22 21:18:44,33.6697,118.1889,72.16,92,100,6.6
79,Tezu,IN,2021-09-22 21:18:44,27.9167,96.1667,76.57,72,98,2.06
80,Saint George,US,2021-09-22 21:16:35,37.1041,-113.5841,97.27,13,1,3.0
81,Sitka,US,2021-09-22 21:18:45,57.0531,-135.33,53.49,58,75,9.22
82,Hambantota,LK,2021-09-22 21:18:45,6.1241,81.1185,80.28,82,43,14.74
83,Esperance,AU,2021-09-22 21:18:45,-33.8667,121.9,57.04,86,0,9.6
84,Saldanha,ZA,2021-09-22 21:18:46,-33.0117,17.9442,57.25,53,5,2.95
85,Husavik,IS,2021-09-22 21:18:46,66.0449,-17.3389,39.11,89,98,8.63
