City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Itarema,BR,89.4,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
519,Phonhong,LA,74.55,overcast clouds,18.5007,102.4166,Manyvong Guest House
520,Shahr-E Babak,IR,80.06,clear sky,30.1165,55.1186,Duna Ecolodge
521,Ravar,IR,84.16,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
526,Korla,CN,67.82,clear sky,41.7597,86.1469,Gulisitan Hotel
529,Sayyan,YE,70.39,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
532,Tucuman,AR,75.2,smoke,-26.8241,-65.2226,HOTEL MIAMI
533,Fountain Hills,US,75.27,broken clouds,33.6117,-111.7174,Lakeshore Hotel & Suites
534,Casambalangan,PH,81.32,overcast clouds,18.3765,122.1274,Villa Saturnina
537,Zaragoza,ES,81.12,scattered clouds,41.6561,-0.8773,Hotel Goya
538,Souillac,MU,72.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
539,Port Hueneme,US,72.63,mist,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
541,Monkey Bay,MW,79.27,broken clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
543,Kismayo,SO,78.33,scattered clouds,-0.3582,42.5454,Agan-Hotel
544,Mana,GF,87.89,scattered clouds,5.6592,-53.7767,LE SAMANA
545,Coaticook,CA,66.29,scattered clouds,45.1334,-71.7991,La Nuitée
546,Vila,PT,61.32,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
547,Minas,UY,63.07,scattered clouds,-34.3759,-55.2377,Hotel Minas
550,Gasa,PS,82.38,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
552,Axim,GH,81.05,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
554,Seoul,KR,69.37,clear sky,37.5683,126.9778,Lotte Hotel Seoul
555,Sabang,ID,83.25,overcast clouds,5.8933,95.3214,Hotel Citra
557,Yinchuan,CN,68.27,broken clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
558,Khasan,RU,64.09,light rain,42.4308,130.6434,
559,Laizhou,CN,68.04,light rain,37.1717,119.9214,GreenTree Inn Yantai Laizhou South Road Unicom Building Express Hotel
561,Barra Patuca,HN,84.04,broken clouds,15.8,-84.2833,
564,Viytivka,UA,62.4,broken clouds,48.426,29.5429,
565,Rawson,AR,76.41,few clouds,-43.3002,-65.1023,Hosteria Sampedro
566,Sangmelima,CM,71.22,overcast clouds,2.9333,11.9833,gamestar hotel
567,Lakatoro,VU,76.01,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
570,Trincomalee,LK,82.08,scattered clouds,8.5711,81.2335,Welcombe Hotel
571,Lafiagi,NG,89.62,broken clouds,8.8667,5.4167,Bus group international
572,Rawicz,PL,71.92,broken clouds,51.6095,16.8585,Dobry Najem 10
574,Kristinehamn,SE,66.04,clear sky,59.3098,14.1081,Hotell Marieberg
575,Isangel,VU,68.41,broken clouds,-19.55,169.2667,Tanna Lodge
576,Samarai,PG,78.49,moderate rain,-10.6167,150.6667,Nuli Sapi
577,Stege,DK,67.08,overcast clouds,54.987,12.2846,Præstekilde Hotel
579,Myanaung,MM,76.59,light rain,18.2833,95.3167,Taung Hlay Khar
580,Zhangye,CN,65.35,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
581,Bonthe,SL,81.23,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
582,Wakema,MM,77.0,overcast clouds,16.6,95.1833,AungKaDay Hotel
583,Sidvokodvo,SZ,87.46,clear sky,-26.6282,31.4202,Rider's Ranch
584,Alofi,NU,69.69,few clouds,-19.0595,-169.9187,Taloa Heights
585,Nanakuli,US,73.71,overcast clouds,21.3906,-158.1547,Camp Pālehua
586,Liverpool,GB,73.78,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
589,Along,IN,73.71,few clouds,28.1667,94.7667,Hotel West
590,Boddam,GB,67.42,overcast clouds,57.4667,-1.7833,Palace Hotel
592,Orito,CO,71.19,light rain,0.6766,-76.8771,Mayju
593,Biak,ID,75.43,overcast clouds,-0.9131,122.8766,Penginapan Kim
594,Nikki,BJ,86.97,broken clouds,9.9401,3.2108,Hotel John
595,Mbaiki,CF,74.48,overcast clouds,3.8678,17.9892,Motel MBM
596,Fayaoue,NC,70.66,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
597,Samarinda,ID,74.86,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
599,Linhares,BR,78.08,overcast clouds,-19.3911,-40.0722,Hotel Conceição
604,Dustlik,UZ,73.8,clear sky,40.5247,68.0358,
