City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Oranjemund,NA,-28.55,16.4333,61.36,69,92,16.02,overcast clouds
207,Kihei,US,20.785,-156.4656,76.84,74,1,5.75,clear sky
208,La Ronge,CA,55.1001,-105.2842,48.42,76,75,2.3,broken clouds
209,Thunder Bay,CA,48.4001,-89.3168,50.56,92,75,3.44,broken clouds
210,Faanui,PF,-16.4833,-151.75,77.65,75,1,10.56,clear sky
211,Haines Junction,CA,60.7522,-137.5108,22.95,93,100,3.44,light snow
212,Aniva,RU,46.7144,142.5294,39.31,81,0,3.67,clear sky
213,Louis Trichardt,ZA,-23.0439,29.9032,81.95,21,0,8.95,clear sky
214,Kourou,GF,5.1552,-52.6478,89.65,56,78,8.57,broken clouds
215,Mogok,MM,22.9167,96.5,66.54,96,6,1.79,clear sky
216,Iqaluit,CA,63.7506,-68.5145,29.93,92,75,10.0,broken clouds
217,Lebu,CL,-37.6167,-73.65,53.62,89,89,13.87,overcast clouds
218,Hualmay,PE,-11.0964,-77.6139,64.56,80,97,7.38,overcast clouds
219,Wanning,CN,18.8003,110.3967,78.93,89,64,7.14,broken clouds
220,Gamba,GA,-2.65,10.0,79.57,76,74,10.27,light rain
221,Andros Town,BS,24.7,-77.7667,85.96,65,87,5.44,overcast clouds
222,Victoria,HK,22.2855,114.1577,86.32,80,2,11.01,light rain
223,Barcelos,PT,41.5388,-8.6151,71.85,81,50,11.56,scattered clouds
224,Diapaga,BF,12.0708,1.7889,92.77,43,5,6.42,clear sky
225,Mehamn,NO,71.0357,27.8492,47.95,79,100,7.36,overcast clouds
226,Barahona,DO,18.2085,-71.1008,82.22,78,40,0.0,scattered clouds
227,Manthani,IN,18.65,79.6667,80.42,84,52,4.41,broken clouds
228,Razole,IN,16.4833,81.8333,84.49,89,90,3.24,overcast clouds
229,Pemangkat,ID,1.1667,108.9667,80.53,82,39,6.73,scattered clouds
230,Svencionys,LT,55.15,26.1667,55.85,76,15,13.44,few clouds
231,Aksay,RU,47.26,39.87,61.02,48,45,11.01,scattered clouds
232,Tucumcari,US,35.1717,-103.725,60.94,58,1,6.91,clear sky
233,Lavrentiya,RU,65.5833,-171.0,29.89,88,100,11.43,overcast clouds
234,Koroni,GR,36.8,21.95,81.07,54,0,4.18,clear sky
235,Ancud,CL,-41.8697,-73.8203,53.13,88,98,12.15,light rain
236,Katsuura,JP,35.1333,140.3,71.19,70,100,16.55,light rain
237,Frontera,MX,26.9333,-101.45,77.95,56,99,3.78,overcast clouds
238,Tamandare,BR,-8.7597,-35.1047,79.99,76,21,11.81,few clouds
239,Mangaluru,IN,12.8667,74.8833,81.46,89,20,3.44,few clouds
240,Asau,RO,46.4333,26.4,73.76,50,4,2.71,clear sky
241,Saint-Francois,FR,46.4154,3.9054,80.47,60,0,8.05,clear sky
242,Riyadh,SA,24.6877,46.7219,98.74,12,37,13.42,scattered clouds
243,Umm Lajj,SA,25.0213,37.2685,85.3,64,6,17.25,clear sky
244,Weihai,CN,37.5017,122.1136,69.94,86,100,10.11,moderate rain
245,Anadyr,RU,64.75,177.4833,16.3,92,0,4.47,clear sky
246,Mayumba,GA,-3.432,10.6554,78.96,78,75,9.42,broken clouds
247,Beringovskiy,RU,63.05,179.3167,29.32,72,16,8.79,few clouds
248,Baykit,RU,61.67,96.37,31.73,84,62,4.14,broken clouds
249,Tocache,PE,-8.1842,-76.5125,82.74,57,95,1.79,overcast clouds
250,Cacimba De Dentro,BR,-6.6417,-35.79,85.08,45,57,15.84,broken clouds
251,Moose Factory,CA,51.2585,-80.6094,50.0,93,90,5.75,overcast clouds
252,Valle Hermoso,MX,25.6667,-97.8333,81.86,52,6,7.87,clear sky
253,Portland,US,45.5234,-122.6762,62.62,82,1,1.01,clear sky
254,Raudeberg,NO,61.9875,5.1352,53.2,79,93,4.0,overcast clouds
255,Touros,BR,-5.1989,-35.4608,88.7,57,5,18.3,clear sky
256,Maroantsetra,MG,-15.4333,49.7333,72.34,83,4,10.98,clear sky
257,Guerrero Negro,MX,27.9769,-114.0611,71.15,77,94,12.68,overcast clouds
258,Coahuayana,MX,18.7333,-103.6833,83.23,73,65,1.41,broken clouds
259,Ambon,ID,-3.6954,128.1814,77.14,94,40,3.44,scattered clouds
260,Puli,TW,23.9664,120.9695,81.21,86,0,4.72,clear sky
